ふじょうしてください	<:koi00:1297511384749309973>
一次関数、二次関数	ｳｯ頭が
🏩🏩🏩🏩🏩	らぶほやん
	<@1297115139857842269>
一次関数、二次関数	俺のトラウマ
📒🖋️	🟢👨‍🏫🪓
📒🖋️	そういえば今日父に万年筆もらった
そういえば今日父に万年筆もらった	いいね〜
1回ふろはいってくるわ	いってらー
1回ふろはいってくるわ	いってら
1回ふろはいってくるわ	いってら〜
edgeだなぁ　そうに決まってる	ヒカマーだ、ありがたい
ただいま	おかえり
<@1140293401489707148> おめでとう！レベル6に到達しました！	このタイミングは喧嘩売ってるw
このタイミングは喧嘩売ってるw	言われてみれば確かに
19時19分ですね	一日の中で一番下ネタな時刻ですね
一日の中で一番下ネタな時刻ですね	おっ、そうだな
一日が48時間だったならば(？)	人間過労死しそう
海外版新鮮	一瞬海賊版に見えた
トランプ就任まで1ヶ月？	まじか
ただいま	おかえり〜！
飯行ってくる	いってら〜
もう勉強やる気起きん！	分かる
#
【速報】あ羅し幻想郷、鯖消し	！？
直前の映像	くさ
こーり氏によって荒らされた模様です。	やっぱこーりさん強くね()
やっぱこーりさん強くね()	くさ
カレー出来た	やべカレー食べたくなってきた
直前の映像	<:emoji_3:1270231923050025042>
ふろでたわ	おかえり〜
ふろでたわ	おかえり
土日浮上少なくなるかもなので先に言っておきます	おけ
おかえり	お
少女鯖の派生で少女幻想郷っていう雑談鯖つくろうかな	👍
ふう	いみしん
<:__:1300395823779287040> <:__:1300396328190349353> <:textstamp:1300401065396797491>	おいしそー！
<:__:1300395823779287040> <:__:1300396328190349353> <:textstamp:1300401065396797491>	ずる
<:__:1300395823779287040> <:__:1300396328190349353> <:textstamp:1300401065396797491>	美味そう！
<:__:1300395823779287040> <:__:1300396328190349353> <:textstamp:1300401065396797491>	うっっっっっっっっわ
<:__:1300395823779287040> <:__:1300396328190349353> <:textstamp:1300401065396797491>	うめそう
おれにもよこせ	<:textstamp:1300810028395008021> <:__:1300402801796579340>
うめそう	おうのう
忘れてたけど今日の夜のご飯	良好
やっぱ最初と2番おわってる	ほんとそれ
https://media.discordapp.net/attachments/1288439468436754494/1317815157933604906/lv_0_20241215201731.mp4?ex=6765fd41&is=6764abc1&hm=14058b746f6732f67e92e375e2e9b2a49228fbdc9e87284f53c601b8b26b39b6&	なにこれ
なにこれ	おれがスマホ垢でつくったPV
おれがスマホ垢でつくったPV	天才だなぁ、そうに決まってる
おれがスマホ垢でつくったPV	sugoi
おいしそう(?)	来月本格的なPV手伝ってもらうからね🫠
来月本格的なPV手伝ってもらうからね🫠	🏳️
<@1297115139857842269> やっぱもう少し早くえぺやろうぜ	いいよ〜
あっどうも	はろー
ちょいまって	おk
kitaku	おかえり
kitaku	おかえり〜
kitaku	おかえり
だれだよせっくすとかいったやつ	お前だよセックス虫
お前だよセックス虫	ひっ
<@1297115139857842269> えぺやるぞ	いいよ〜
ひまんこだね	ﾏｯｺﾏｯｺﾏｯｺﾏｯｺｲｸｲｸｲｸｲｸｲｸｲｸｲｸｲｸ
撃つ(意味深)	ホ401
ﾏｯｺﾏｯｺﾏｯｺﾏｯｺｲｸｲｸｲｸｲｸｲｸｲｸｲｸｲｸ	ミサイル？
ホ401	なんかえろい
ミサイル？	返信先ミス
なんかえろい	は？()
おはよー！！！！	ぐっもにん
僕は変態じゃないです	え
ぐっもにん	
変態だろ()	なく
ホ401	ちなみに57mm砲だよ
なく	変態を恐れるな
おれが一生執着します	きも
少女鯖に一度ハマるともう抜け出せません	抜けない
抜けない	射　精　管　理
こんばんは	へいへい
だから鯖民の結婚式にも出席します	wwwwww
だから鯖民の結婚式にも出席します	リアル割れててくさ
僕の13年続けてきた水泳が今日で終わりました	おうのう
もう二度と泳ぎたくないです	くさ
